Stock,Stock Price,Previous Close,Overnight Price Return,Market Capitalisation,Trailing Price to Earnings Ratio,Number of Shares to Buy
BXP,80.88,81.99,0.9864617636297109,14265128960,35.16522,N/A
CHRW,106.18,105.58,1.0056828944875924,12551007232,36.740482,N/A
CDNS,310.27,306.81,1.011277337766044,85095579648,81.86543,N/A
CZR,39.01,38.49,1.0135100025980772,8288844288,,N/A
CPT,123.95,125.8,0.9852941176470589,13223109632,39.100945,N/A
CPB,46.23,46.2,1.0006493506493506,13758787584,24.460318,N/A
COF,187.52,192.01,0.9766158012603511,71540760576,17.707272,N/A
CAH,122.47,122.24,1.001881544502618,29638965248,23.551924,N/A
KMX,83.18,83.97,0.9905918780516852,12886578176,31.270676,N/A
CCL,25.99,25.43,1.022021234762092,34874679296,22.213676,N/A
CARR,76.29,77.37,0.9860411012020163,68449447936,44.87647,N/A
CTLT,61.43,61.11,1.0052364588447062,11150281728,,N/A
CAT,402.51,406.11,0.9911354066632193,194332639232,18.695309,N/A
CBOE,211.91,215.85,0.9817465832754227,22184009728,28.90996,N/A
CBRE,138.39,139.99,0.9885706121865846,42349830144,44.786407,N/A
CDW,180.62,175.93,1.0266583300176206,24070144000,22.080683,N/A
CE,74.22,73.21,1.0137959295178256,8113136640,7.3924303,N/A
COR,249.87,251.55,0.9933214072748956,48294871040,33.227394,N/A
CNC,60.06,60.0,1.0010000000000001,30322192384,10.373057,N/A
CNP,31.99,32.62,0.98068669527897,20848746496,21.326666,N/A
CF,90.96,89.66,1.0144992192728084,15828858880,14.415214,N/A
CRL,201.25,199.06,1.0110017080277303,10291160064,25.124844,N/A
SCHW,81.39,82.76,0.9834461092315128,148989280256,31.792969,N/A
CHTR,394.43,396.965,0.9936140465784138,56081633280,12.360702,N/A
CVX,162.21,161.93,1.0017291422219479,289207451648,17.825275,N/A
CMG,60.54,61.52,0.9840702210663198,82491195392,56.055553,N/A
CB,289.91,288.73,1.0040868631593531,116862140416,11.891305,N/A
CHD,111.24,110.13,1.010078997548352,27253577728,50.108105,N/A
CI,337.06,337.8,0.9978093546477205,93754245120,31.948814,N/A
CINF,157.58,159.83,0.9859225427016205,24632119296,8.097636,N/A
CTAS,222.64,225.79,0.9860489835688029,89790488576,56.22222,N/A
CSCO,59.43,59.21,1.0037155885830096,236695420928,25.50644,N/A
C,71.39,70.87,1.0073373782982926,135017054208,20.339031,N/A
CFG,47.08,48.14,0.9779808890735354,20748204032,18.462746,N/A
CLX,166.54,167.17,0.9962313812286894,20614486016,57.826385,N/A
CME,235.61,238.0,0.9899579831932773,84904886272,24.74895,N/A
CMS,68.4,69.71,0.9812078611390046,20436893696,19.542858,N/A
KO,63.65,64.08,0.9932896379525593,274191482880,26.410788,N/A
CTSH,80.82,80.49,1.0040998881848677,40072495104,17.880531,N/A
CL,97.11,96.63,1.004967401428128,79339937792,27.905172,N/A
CMCSA,43.29,43.19,1.0023153507756426,165650923520,11.668464,N/A
CAG,27.82,27.55,1.0098003629764065,13277734912,27.27451,N/A
COP,106.14,108.34,0.9796935573195495,137298460672,12.590747,N/A
ED,98.5,100.59,0.9792225867382444,34121582592,18.515038,N/A
STZ,237.76,240.95,0.9867607387424777,43174125568,75.71974,N/A
CEG,249.58,256.56,0.9727938883691924,78060388352,27.54746,N/A
COO,103.0,104.46,0.9860233582232434,20513067008,57.222225,N/A
CPRT,62.02,63.39,0.9783877583215018,59758006272,43.370632,N/A
GLW,49.24,48.67,1.0117115266077665,42159734784,259.1579,N/A
CPAY,382.99,381.18,1.0047484128233382,26698614784,27.317402,N/A
CTVA,62.23,62.07,1.0025777348155307,42770243584,64.822914,N/A
CSGP,80.07,81.34,0.984386525694615,32825497600,190.64287,N/A
COST,975.0,971.88,1.0032102728731942,431997124608,58.80579,N/A
CTRA,26.09,26.72,0.9764221556886228,19218233344,15.812121,N/A
CRWD,346.8,345.97,1.0023990519409196,85420654592,666.9231,N/A
CCI,105.32,106.25,0.9912470588235294,45771862016,37.34752,N/A
CSX,36.34,36.55,0.9942544459644325,70078783488,19.329788,N/A
CMI,377.3,375.04,1.006026023890785,51758768128,24.692408,N/A
CVS,59.08,59.85,0.9871345029239765,74346864640,14.994925,N/A
DHR,241.29,239.69,1.0066752889148483,174277738496,45.440678,N/A
DRI,172.0,176.27,0.9757757984909513,20209999872,19.838524,N/A
DVA,163.74,166.17,0.9853764217367758,13430609920,17.644398,N/A
DAY,81.39,79.99,1.0175021877734718,12835203072,239.38235,N/A
DECK,201.9,195.96,1.0303123086344153,30673051648,35.734512,N/A
DE,462.95,465.9,0.9936681691350076,126663122944,18.083984,N/A
DELL,125.84,127.59,0.986284191551062,88339177472,22.272566,N/A
DAL,63.41,63.82,0.9935756816045126,40917270528,8.794729,N/A
DVN,37.61,37.95,0.9910408432147562,24706009088,6.9648147,N/A
DXCM,79.31,77.99,1.0169252468265164,30978088960,48.066666,N/A
FANG,175.83,177.59,0.9900895320682471,51340423168,10.140139,N/A
DLR,192.16,195.69,0.981961265266493,64971026432,156.22765,N/A
